,median_graduate_income,median_parent_income
1255,39400.0,52600
1256,39400.0,52600
1257,39400.0,52600
1258,39400.0,52600
1259,39400.0,52600
1260,39400.0,52600
1261,39400.0,52600
1262,39400.0,52600
1263,39400.0,52600
1264,39400.0,52600
1265,39400.0,52600
1266,39400.0,52600
1267,39400.0,52600
1268,39400.0,52600
1269,39400.0,52600
1270,39400.0,52600
1271,39400.0,52600
1272,39400.0,52600
1273,39400.0,52600
1274,39400.0,52600
1275,39400.0,52600
1276,39400.0,52600
1277,39400.0,52600
1278,39400.0,52600
1279,39400.0,52600
1280,39400.0,52600
1281,39400.0,52600
1282,39400.0,52600
1283,39400.0,52600
1284,39400.0,52600
1285,39400.0,52600
1286,39400.0,52600
1287,39400.0,52600
1288,39400.0,52600
1289,39400.0,52600
1290,39400.0,52600
1291,39400.0,52600
1292,39400.0,52600
1293,39400.0,52600
1294,39400.0,52600
1295,39400.0,52600
1296,39400.0,52600
1297,39400.0,52600
1298,39400.0,52600
1299,39400.0,52600
1300,39400.0,52600
1301,39400.0,52600
1302,39400.0,52600
1303,39400.0,52600
1304,39400.0,52600
1305,39400.0,52600
1306,39400.0,52600
1307,39400.0,52600
1308,39400.0,52600
1309,39400.0,52600
1310,39400.0,52600
1311,39400.0,52600
1312,39400.0,52600
1313,39400.0,52600
1314,39400.0,52600
1315,39400.0,52600
1316,39400.0,52600
1317,39400.0,52600
1318,39400.0,52600
1319,39400.0,52600
1320,39400.0,52600
1321,39400.0,52600
1322,39400.0,52600
1323,39400.0,52600
1324,39400.0,52600
1325,39400.0,52600
1326,39400.0,52600
1327,39400.0,52600
1328,39400.0,52600
1329,39400.0,52600
1330,39400.0,52600
1331,39400.0,52600
1332,39400.0,52600
1333,39400.0,52600
1334,39400.0,52600
1335,39400.0,52600
1336,39400.0,52600
1337,39400.0,52600
1338,39400.0,52600
1339,39400.0,52600
1340,39400.0,52600
1341,39400.0,52600
1342,39400.0,52600
1343,41800.0,52600
1344,41800.0,52600
1345,41800.0,52600
1346,35700.0,71500
1347,30900.0,65800
1348,30900.0,65800
1349,30900.0,65800
1350,28800.0,65800
1351,31000.0,65800
1352,31000.0,65800
1353,30500.0,82800
1354,42800.0,80900
1355,29500.0,58400
